# Figure-4 interim queue ledger. One row per RUN, one run per pressure leg.
# Separate from screen_ledger.csv on purpose: that file is the sealed section 9
# ledger of the reference screen, and these runs belong to the Figure-4
# pre-analysis amendment, not to the sealed screen. `pressure` and `segment`
# are columns here that section 9 does not have -- section 9's column set is
# sealed and its two pressure legs are therefore two identical-looking rows.
# This file is mine, so it records the leg and the segment that produced it.
stem,stage,grade,pressure,segment,init_cycles,prod_cycles,job,walltime,nsim,group,attempt,status,submitted_at
0000[Eu][hcb]2[ASR]1,stage1,floor,p65,sample,2000,10000,f4_27_p65,07:42:00,1704,ac,1,submitted,2026-09-02T21:32:35Z
0000[Eu][sqc]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_28_p05,06:56:00,1536,aa,1,submitted,2026-09-02T21:32:35Z
0000[Eu][sqc]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_28_p65,06:56:00,1536,amd,1,submitted,2026-09-02T21:32:35Z
0000[Fe][acs]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_29_p05,11:51:00,2624,ac,1,submitted,2026-09-02T21:32:35Z
0000[Fe][acs]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_29_p65,11:51:00,2624,aa,1,submitted,2026-09-02T21:32:35Z
0000[Ho][dia]3[FSR]1,stage1,floor,p05,sample,2000,10000,f4_30_p05,10:07:00,2240,amd,1,submitted,2026-09-02T21:32:35Z
0000[Ho][dia]3[FSR]1,stage1,floor,p65,sample,2000,10000,f4_30_p65,10:07:00,2240,ac,1,submitted,2026-09-02T21:32:35Z
0000[La][nan]3[FSR]1,stage1,floor,p05,sample,2000,10000,f4_31_p05,13:44:00,3040,aa,1,submitted,2026-09-02T21:32:35Z
0000[La][nan]3[FSR]1,stage1,floor,p65,sample,2000,10000,f4_31_p65,13:44:00,3040,amd,1,submitted,2026-09-02T21:32:35Z
0000[Mg][sra]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_32_p05,09:06:00,2016,ac,1,submitted,2026-09-02T21:32:35Z
0000[Mg][sra]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_32_p65,09:06:00,2016,aa,1,submitted,2026-09-02T21:32:35Z
0000[Sm][bcu]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_33_p05,09:39:00,2136,amd,1,submitted,2026-09-02T21:32:35Z
0000[Sm][bcu]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_33_p65,09:39:00,2136,ac,1,submitted,2026-09-02T21:32:35Z
0000[Tb][nan]2[ASR]1,stage1,floor,p05,sample,2000,10000,f4_34_p05,14:10:00,3136,aa,1,submitted,2026-09-02T21:32:35Z
0000[Tb][nan]2[ASR]1,stage1,floor,p65,sample,2000,10000,f4_34_p65,14:10:00,3136,amd,1,submitted,2026-09-02T21:32:35Z
0000[Tb][pcu]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_35_p05,09:06:00,2016,ac,1,submitted,2026-09-02T21:32:35Z
0000[Tb][pcu]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_35_p65,09:06:00,2016,aa,1,submitted,2026-09-02T21:32:35Z
0000[Tb][rtl]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_36_p05,07:13:00,1600,amd,1,submitted,2026-09-02T21:32:35Z
0000[Tb][rtl]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_36_p65,07:13:00,1600,ac,1,submitted,2026-09-02T21:32:35Z
0000[Tb][tcs]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_37_p05,06:56:00,1536,aa,1,submitted,2026-09-02T21:32:35Z
0000[Tb][tcs]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_37_p65,06:56:00,1536,amd,1,submitted,2026-09-02T21:32:35Z
0000[U][pcu]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_38_p05,09:32:00,2112,ac,1,submitted,2026-09-02T21:32:35Z
0000[U][pcu]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_38_p65,09:32:00,2112,aa,1,submitted,2026-09-02T21:32:35Z
0000[Zn][hcb]2[ASR]2,stage1,floor,p05,sample,2000,10000,f4_39_p05,09:02:00,2000,amd,1,submitted,2026-09-02T21:32:35Z
0000[Zn][hcb]2[ASR]2,stage1,floor,p65,sample,2000,10000,f4_39_p65,09:02:00,2000,ac,1,submitted,2026-09-02T21:32:35Z
0000[Zn][ith]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_40_p05,04:30:00,996,aa,1,submitted,2026-09-02T21:32:35Z
0000[Zn][ith]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_40_p65,04:30:00,996,amd,1,submitted,2026-09-02T21:32:35Z
0000[Zn][kgd]2[ASR]1,stage1,floor,p05,sample,2000,10000,f4_41_p05,11:23:00,2520,ac,1,submitted,2026-09-02T21:32:35Z
0000[Zn][kgd]2[ASR]1,stage1,floor,p65,sample,2000,10000,f4_41_p65,11:23:00,2520,aa,1,submitted,2026-09-02T21:32:35Z
0000[Zn][nan]2[ASR]2,stage1,floor,p05,sample,2000,10000,f4_42_p05,14:27:00,3200,amd,1,submitted,2026-09-02T21:32:35Z
0000[Zn][nan]2[ASR]2,stage1,floor,p65,sample,2000,10000,f4_42_p65,14:27:00,3200,ac,1,submitted,2026-09-02T21:32:35Z
0000[Zn][nan]3[ASR]4,stage1,floor,p05,sample,2000,10000,f4_43_p05,25:27:00,5632,aa,1,submitted,2026-09-02T21:32:35Z
0000[Zn][nan]3[ASR]4,stage1,floor,p65,sample,2000,10000,f4_43_p65,25:27:00,5632,amd,1,submitted,2026-09-02T21:32:35Z
0000[Zn][nan]3[ASR]9,stage1,floor,p05,sample,2000,10000,f4_44_p05,12:08:00,2688,ac,1,submitted,2026-09-02T21:32:35Z
0000[Zn][nan]3[ASR]9,stage1,floor,p65,sample,2000,10000,f4_44_p65,12:08:00,2688,aa,1,submitted,2026-09-02T21:32:35Z
0000[Zn][pcu]3[ASR]3,stage1,floor,p05,sample,2000,10000,f4_45_p05,15:37:00,3456,amd,1,submitted,2026-09-02T21:32:35Z
0000[Zn][pcu]3[ASR]3,stage1,floor,p65,sample,2000,10000,f4_45_p65,15:37:00,3456,ac,1,submitted,2026-09-02T21:32:35Z
0000[Zn][sql]2[ASR]1,stage1,floor,p05,sample,2000,10000,f4_46_p05,13:59:00,3096,aa,1,submitted,2026-09-02T21:32:35Z
0000[Zn][sql]2[ASR]1,stage1,floor,p65,sample,2000,10000,f4_46_p65,13:59:00,3096,amd,1,submitted,2026-09-02T21:32:35Z
0000[Zn][sra]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_47_p05,08:23:00,1856,ac,1,submitted,2026-09-02T21:32:35Z
0000[Zn][sra]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_47_p65,08:23:00,1856,aa,1,submitted,2026-09-02T21:32:35Z
1993[CoCu][tfk]3[FSR]1,stage1,floor,p05,sample,2000,10000,f4_48_p05,13:27:00,2976,amd,1,submitted,2026-09-02T21:32:35Z
1993[CoCu][tfk]3[FSR]1,stage1,floor,p65,sample,2000,10000,f4_48_p65,13:27:00,2976,ac,1,submitted,2026-09-02T21:32:35Z
1998[In][nan]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_49_p05,08:18:00,1840,aa,1,submitted,2026-09-02T21:32:35Z
1998[In][nan]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_49_p65,08:18:00,1840,amd,1,submitted,2026-09-02T21:32:35Z
1998[La][nan]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_50_p05,12:08:00,2688,ac,1,submitted,2026-09-02T21:32:35Z
1998[La][nan]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_50_p65,12:08:00,2688,aa,1,submitted,2026-09-02T21:32:35Z
1998[MoCu][nan]3[FSR]1,stage1,floor,p05,sample,2000,10000,f4_51_p05,07:22:00,1632,amd,1,submitted,2026-09-02T21:32:35Z
1998[MoCu][nan]3[FSR]1,stage1,floor,p65,sample,2000,10000,f4_51_p65,07:22:00,1632,ac,1,submitted,2026-09-02T21:32:35Z
1998[Nd][sqc]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_52_p05,13:35:00,3008,aa,1,submitted,2026-09-02T21:32:35Z
1998[Nd][sqc]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_52_p65,13:35:00,3008,amd,1,submitted,2026-09-02T21:32:35Z
1998[Ni][pcu]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_53_p05,06:08:00,1360,ac,1,submitted,2026-09-02T21:32:35Z
1998[Ni][pcu]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_53_p65,06:08:00,1360,aa,1,submitted,2026-09-02T21:32:35Z
1999[Mn][pcu]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_54_p05,16:45:00,3708,amd,1,submitted,2026-09-02T21:32:35Z
1999[Mn][pcu]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_54_p65,16:45:00,3708,ac,1,submitted,2026-09-02T21:32:35Z
1999[Zn][nan]3[ION]1,stage1,floor,p05,sample,2000,10000,f4_55_p05,31:29:00,6966,aa,1,submitted,2026-09-02T21:32:35Z
1999[Zn][nan]3[ION]1,stage1,floor,p65,sample,2000,10000,f4_55_p65,31:29:00,6966,amd,1,submitted,2026-09-02T21:32:35Z
2000[Al][nan]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_56_p05,08:47:00,1944,ac,1,submitted,2026-09-02T21:32:35Z
2000[Al][nan]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_56_p65,08:47:00,1944,aa,1,submitted,2026-09-02T21:32:35Z
2000[Cu][dia]3[ION]1,stage1,floor,p05,sample,2000,10000,f4_57_p05,13:01:00,2880,amd,1,submitted,2026-09-02T21:32:35Z
2000[Cu][dia]3[ION]1,stage1,floor,p65,sample,2000,10000,f4_57_p65,13:01:00,2880,ac,1,submitted,2026-09-02T21:32:35Z
2000[Mn][lvt]2[FSR]1,stage1,floor,p05,sample,2000,10000,f4_58_p05,15:02:00,3328,aa,1,submitted,2026-09-02T21:32:35Z
2000[Mn][lvt]2[FSR]1,stage1,floor,p65,sample,2000,10000,f4_58_p65,15:02:00,3328,amd,1,submitted,2026-09-02T21:32:35Z
2001[Cd][nan]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_59_p05,09:26:00,2088,ac,1,submitted,2026-09-02T21:32:35Z
2001[Cd][nan]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_59_p65,09:26:00,2088,aa,1,submitted,2026-09-02T21:32:35Z
2001[La][nan]3[FSR]1,stage1,floor,p05,sample,2000,10000,f4_60_p05,14:45:00,3264,amd,1,submitted,2026-09-02T21:32:35Z
2001[La][nan]3[FSR]1,stage1,floor,p65,sample,2000,10000,f4_60_p65,14:45:00,3264,ac,1,submitted,2026-09-02T21:32:35Z
2001[Zn][nan]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_61_p05,10:24:00,2304,aa,1,submitted,2026-09-02T21:32:35Z
2001[Zn][nan]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_61_p65,10:24:00,2304,amd,1,submitted,2026-09-02T21:32:35Z
2001[Zn][sab]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_62_p05,06:13:00,1376,ac,1,submitted,2026-09-02T21:32:35Z
2001[Zn][sab]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_62_p65,06:13:00,1376,aa,1,submitted,2026-09-02T21:32:35Z
2001[Zn][sit]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_63_p05,14:45:00,3264,amd,1,submitted,2026-09-02T21:32:35Z
2001[Zn][sit]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_63_p65,14:45:00,3264,ac,1,submitted,2026-09-02T21:32:35Z
2002[Cd][nan]3[ION]1,stage1,floor,p05,sample,2000,10000,f4_64_p05,04:29:00,992,aa,1,submitted,2026-09-02T21:32:35Z
2002[Cd][nan]3[ION]1,stage1,floor,p65,sample,2000,10000,f4_64_p65,04:29:00,992,amd,1,submitted,2026-09-02T21:32:35Z
2002[Cd][scu]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_65_p05,09:17:00,2056,ac,1,submitted,2026-09-02T21:32:35Z
2002[Cd][scu]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_65_p65,09:17:00,2056,aa,1,submitted,2026-09-02T21:32:35Z
2002[Ga][nan]3[ION]1,stage1,floor,p05,sample,2000,10000,f4_66_p05,15:24:00,3408,amd,1,submitted,2026-09-02T21:32:35Z
2002[Ga][nan]3[ION]1,stage1,floor,p65,sample,2000,10000,f4_66_p65,15:24:00,3408,ac,1,submitted,2026-09-02T21:32:35Z
2002[Lu][ins]3[FSR]1,stage1,floor,p05,sample,2000,10000,f4_67_p05,06:46:00,1500,aa,1,submitted,2026-09-02T21:32:35Z
2002[Lu][ins]3[FSR]1,stage1,floor,p65,sample,2000,10000,f4_67_p65,06:46:00,1500,amd,1,submitted,2026-09-02T21:32:35Z
2002[MoNi][nan]3[FSR]1,stage1,floor,p05,sample,2000,10000,f4_68_p05,06:39:00,1472,ac,1,submitted,2026-09-02T21:32:35Z
2002[MoNi][nan]3[FSR]1,stage1,floor,p65,sample,2000,10000,f4_68_p65,06:39:00,1472,aa,1,submitted,2026-09-02T21:32:35Z
2003[Co][pts]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_69_p05,04:55:00,1088,amd,1,submitted,2026-09-02T21:32:35Z
2003[Co][pts]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_69_p65,04:55:00,1088,ac,1,submitted,2026-09-02T21:32:35Z
2003[Cu][rob]3[ASR]6,stage1,floor,p05,sample,2000,10000,f4_70_p05,14:09:00,3132,aa,1,submitted,2026-09-02T21:32:35Z
2003[Cu][rob]3[ASR]6,stage1,floor,p65,sample,2000,10000,f4_70_p65,14:09:00,3132,amd,1,submitted,2026-09-02T21:32:35Z
2003[V][fsc]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_71_p05,07:09:00,1584,ac,1,submitted,2026-09-02T21:32:35Z
2003[V][fsc]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_71_p65,07:09:00,1584,aa,1,submitted,2026-09-02T21:32:35Z
2003[V][sea]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_72_p05,11:45:00,2600,amd,1,submitted,2026-09-02T21:32:35Z
2003[V][sea]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_72_p65,11:45:00,2600,ac,1,submitted,2026-09-02T21:32:35Z
2003[Zn][nan]3[ASR]2,stage1,floor,p05,sample,2000,10000,f4_73_p05,15:11:00,3360,aa,1,submitted,2026-09-02T21:32:35Z
2003[Zn][nan]3[ASR]2,stage1,floor,p65,sample,2000,10000,f4_73_p65,15:11:00,3360,amd,1,submitted,2026-09-02T21:32:35Z
2004[Ag][pts]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_74_p05,13:18:00,2944,ac,1,submitted,2026-09-02T21:32:35Z
2004[Ag][pts]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_74_p65,13:18:00,2944,aa,1,submitted,2026-09-02T21:32:35Z
2004[Cd][dia]3[FSR]1,stage1,floor,p05,sample,2000,10000,f4_75_p05,16:55:00,3744,amd,1,submitted,2026-09-02T21:32:35Z
2004[Cd][dia]3[FSR]1,stage1,floor,p65,sample,2000,10000,f4_75_p65,16:55:00,3744,ac,1,submitted,2026-09-02T21:32:35Z
2004[Cd][nan]3[FSR]1,stage1,floor,p05,sample,2000,10000,f4_76_p05,14:16:00,3159,aa,1,submitted,2026-09-02T21:32:35Z
2004[Cd][nan]3[FSR]1,stage1,floor,p65,sample,2000,10000,f4_76_p65,14:16:00,3159,amd,1,submitted,2026-09-02T21:32:35Z
2004[Cr][reo]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_77_p05,03:00:00,624,ac,1,submitted,2026-09-02T21:32:35Z
2004[Cr][reo]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_77_p65,03:00:00,624,aa,1,submitted,2026-09-02T21:32:35Z
2004[Cu][asf]3[ASR]2,stage1,floor,p05,sample,2000,10000,f4_78_p05,15:37:00,3456,amd,1,submitted,2026-09-02T21:32:35Z
2004[Cu][asf]3[ASR]2,stage1,floor,p65,sample,2000,10000,f4_78_p65,15:37:00,3456,ac,1,submitted,2026-09-02T21:32:35Z
2004[Ho][pcu]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_79_p05,22:33:00,4992,aa,1,submitted,2026-09-02T21:32:35Z
2004[Ho][pcu]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_79_p65,22:33:00,4992,amd,1,submitted,2026-09-02T21:32:35Z
