# UNATTESTED. Workspace file inventory, post-seal read-only, 2026-09-03. Skip this line.
run,group,file_path,parent_structure_id,parent_class,transformation,reported_value,reported_uncertainty,accuracy_tier,pristine_parent_measured_same_setting
rep02,U,rep02/mod/1999[Cd][dia]3[ASR]1__1of2.cif,1999[Cd][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1999[Cd][dia]3[ASR]2__1of2.cif,1999[Cd][dia]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2000[Cu][dia]3[FSR]1__1of2.cif,2000[Cu][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2000[Zn][pts]3[ASR]1__1of2.cif,2000[Zn][pts]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2001[Cu][cds]3[ASR]1__1of2.cif,2001[Cu][cds]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2001[Cu][cds]3[FSR]1__1of2.cif,2001[Cu][cds]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep15,U,rep15/cifs/2001[Cu][cds]3[FSR]1+DEAQ.cif,2001[Cu][cds]3[FSR]1,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep02,U,rep02/mod/2001[Zn][dia]3[ASR]2__1of2.cif,2001[Zn][dia]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2001[Zn][dia]3[FSR]2__1of2.cif,2001[Zn][dia]3[FSR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2001[Zn][sit]3[ASR]1__1of2.cif,2001[Zn][sit]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2002[Cd][dia]3[ASR]1__1of4.cif,2002[Cd][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2002[Cd][dia]3[FSR]1__1of4.cif,2002[Cd][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2002[Cu][dia]3[ASR]1__1of2.cif,2002[Cu][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2002[Cu][lvt]3[ASR]1__1of2.cif,2002[Cu][lvt]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2002[Cu][ths]3[FSR]1__1of2.cif,2002[Cu][ths]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2003[Co][pts]3[ASR]1__1of2.cif,2003[Co][pts]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2003[Co][pts]3[FSR]1__1of2.cif,2003[Co][pts]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2003[Cu][pcu]3[FSR]1__1of2.cif,2003[Cu][pcu]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep15,U,rep15/cifs/2003[GdZn][stp]3[FSR]1+DEAQ.cif,2003[GdZn][stp]3[FSR]1,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep02,U,rep02/mod/2003[Zn][hex]3[ASR]1__1of2.cif,2003[Zn][hex]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2003[Zn][hex]3[FSR]1__1of2.cif,2003[Zn][hex]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Cd][bnn]3[ASR]1__1of4.cif,2004[Cd][bnn]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Cd][bnn]3[FSR]1__1of4.cif,2004[Cd][bnn]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Cd][dia]3[ASR]1__1of2.cif,2004[Cd][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Cd][dia]3[FSR]1__1of2.cif,2004[Cd][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep15,U,rep15/cifs/2004[Cd][nan]3[FSR]1+DEAQ.cif,2004[Cd][nan]3[FSR]1,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep02,U,rep02/mod/2004[Co][pcu]3[ASR]1__1of3.cif,2004[Co][pcu]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Cu][dia]3[ASR]1__1of2.cif,2004[Cu][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep15,U,rep15/cifs/2004[VCo][xbe]3[FSR]1+DEAQ.cif,2004[VCo][xbe]3[FSR]1,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep02,U,rep02/mod/2004[WCu][dia]3[ION]1__1of4.cif,2004[WCu][dia]3[ION]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Zn][ths]3[ASR]1__1of2.cif,2004[Zn][ths]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2004[Zn][ths]3[FSR]1__1of2.cif,2004[Zn][ths]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Ag][dia]3[ASR]1__1of2.cif,2005[Ag][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Ag][dia]3[FSR]1__1of2.cif,2005[Ag][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Ag][dia]3[ION]1__1of2.cif,2005[Ag][dia]3[ION]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Cd][cds]3[ASR]1__1of2.cif,2005[Cd][cds]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Cd][cds]3[FSR]1__1of2.cif,2005[Cd][cds]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep15,U,rep15/cifs/2005[Cd][nan]3[FSR]2+DEAQ.cif,2005[Cd][nan]3[FSR]2,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep02,U,rep02/mod/2005[CoAg][utp]3[ASR]1__1of2.cif,2005[CoAg][utp]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep15,U,rep15/cifs/2005[Co][nan]3[FSR]4+DEAQ.cif,2005[Co][nan]3[FSR]4,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep02,U,rep02/mod/2005[Co][srs]3[ASR]1__1of2.cif,2005[Co][srs]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Fe][srs]3[ASR]1__1of2.cif,2005[Fe][srs]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Fe][srs]3[FSR]1__1of2.cif,2005[Fe][srs]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][hex]3[FSR]1__1of2.cif,2005[Zn][hex]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][pcu]3[ASR]1__1of2.cif,2005[Zn][pcu]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][pcu]3[ASR]12__1of2.cif,2005[Zn][pcu]3[ASR]12,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][pcu]3[FSR]1__1of2.cif,2005[Zn][pcu]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][pcu]3[FSR]12__1of2.cif,2005[Zn][pcu]3[FSR]12,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]1__1of2.cif,2005[Zn][srs]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]2__1of2.cif,2005[Zn][srs]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]3__1of2.cif,2005[Zn][srs]3[ASR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]4__1of2.cif,2005[Zn][srs]3[ASR]4,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]5__1of2.cif,2005[Zn][srs]3[ASR]5,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]6__1of2.cif,2005[Zn][srs]3[ASR]6,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]7__1of2.cif,2005[Zn][srs]3[ASR]7,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[ASR]8__1of2.cif,2005[Zn][srs]3[ASR]8,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[FSR]1__1of2.cif,2005[Zn][srs]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[FSR]2__1of2.cif,2005[Zn][srs]3[FSR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[FSR]3__1of2.cif,2005[Zn][srs]3[FSR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[FSR]4__1of2.cif,2005[Zn][srs]3[FSR]4,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[FSR]5__1of2.cif,2005[Zn][srs]3[FSR]5,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[FSR]6__1of2.cif,2005[Zn][srs]3[FSR]6,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[FSR]7__1of2.cif,2005[Zn][srs]3[FSR]7,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2005[Zn][srs]3[FSR]8__1of2.cif,2005[Zn][srs]3[FSR]8,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[Cd][dia]3[ASR]2__1of4.cif,2006[Cd][dia]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[Cd][dia]3[FSR]2__1of4.cif,2006[Cd][dia]3[FSR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[CoAg][utp]3[ASR]1__1of2.cif,2006[CoAg][utp]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[CoAg][utp]3[ASR]2__1of2.cif,2006[CoAg][utp]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[CoAg][utp]3[ASR]3__1of2.cif,2006[CoAg][utp]3[ASR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[CoAg][utp]3[FSR]1__1of2.cif,2006[CoAg][utp]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[CoAg][utp]3[FSR]2__1of2.cif,2006[CoAg][utp]3[FSR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[CoAg][utp]3[FSR]3__1of2.cif,2006[CoAg][utp]3[FSR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[Co][ths]3[ASR]1__1of2.cif,2006[Co][ths]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[Cu][pcu]3[ASR]1__1of2.cif,2006[Cu][pcu]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[Cu][srs]3[ASR]1__1of2.cif,2006[Cu][srs]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep15,U,rep15/cifs/2006[Dy][sqc]3[FSR]1+DEAQ.cif,2006[Dy][sqc]3[FSR]1,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep02,U,rep02/mod/2006[Zn][dia]3[ASR]1__1of2.cif,2006[Zn][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[Zn][dia]3[ASR]2__1of4.cif,2006[Zn][dia]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[Zn][dia]3[FSR]1__1of2.cif,2006[Zn][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[Zn][dia]3[FSR]2__1of4.cif,2006[Zn][dia]3[FSR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[Zn][pcu]3[ASR]2__1of2.cif,2006[Zn][pcu]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2006[Zn][pcu]3[FSR]2__1of2.cif,2006[Zn][pcu]3[FSR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[CdFe][pcu]3[ASR]1__1of2.cif,2007[CdFe][pcu]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[CdFe][pcu]3[ASR]2__1of2.cif,2007[CdFe][pcu]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[CdFe][pcu]3[FSR]1__1of2.cif,2007[CdFe][pcu]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[CdFe][pcu]3[FSR]2__1of2.cif,2007[CdFe][pcu]3[FSR]2,retained,"""interpenetration removal""",,,,unknown
rep15,U,rep15/cifs/2007[Co][dmc]3[FSR]1+DEAQ.cif,2007[Co][dmc]3[FSR]1,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep15,U,rep15/cifs/2007[GdCo][nan]3[FSR]1+DEAQ.cif,2007[GdCo][nan]3[FSR]1,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep02,U,rep02/mod/2007[InAg][ths]3[ASR]1__1of2.cif,2007[InAg][ths]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[InAg][ths]3[FSR]1__1of2.cif,2007[InAg][ths]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep15,U,rep15/cifs/2007[Ni][dia]3[FSR]1+DEAQ.cif,2007[Ni][dia]3[FSR]1,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep02,U,rep02/mod/2007[Ni][pcu]3[ASR]1__1of2.cif,2007[Ni][pcu]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Ni][pcu]3[ASR]2__1of2.cif,2007[Ni][pcu]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Ni][pcu]3[ASR]3__1of2.cif,2007[Ni][pcu]3[ASR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Ni][pcu]3[FSR]1__1of2.cif,2007[Ni][pcu]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Ni][pcu]3[FSR]2__1of2.cif,2007[Ni][pcu]3[FSR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Ni][pcu]3[FSR]3__1of2.cif,2007[Ni][pcu]3[FSR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Ni][sit]3[ASR]1__1of2.cif,2007[Ni][sit]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[TbV][nan]3[ASR]1__1of2.cif,2007[TbV][nan]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[TbV][nan]3[FSR]1__1of2.cif,2007[TbV][nan]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep15,U,rep15/cifs/2007[U][nan]3[FSR]1+DEAQ.cif,2007[U][nan]3[FSR]1,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][dia]3[ASR]3__1of2.cif,2007[Zn][dia]3[ASR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][dia]3[FSR]3__1of2.cif,2007[Zn][dia]3[FSR]3,retained,"""interpenetration removal""",,,,unknown
rep15,U,rep15/cifs/2007[Zn][dia]3[FSR]6+DEAQ.cif,2007[Zn][dia]3[FSR]6,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep15,U,rep15/cifs/2007[ZnSm][stp]3[FSR]1+DEAQ.cif,2007[ZnSm][stp]3[FSR]1,retained,"""+DEAQ""; ""The section 3 terminal-aqua removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]10__1of2.cif,2007[Zn][srs]3[ASR]10,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]11__1of2.cif,2007[Zn][srs]3[ASR]11,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]1__1of2.cif,2007[Zn][srs]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]12__1of2.cif,2007[Zn][srs]3[ASR]12,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]13__1of2.cif,2007[Zn][srs]3[ASR]13,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]14__1of2.cif,2007[Zn][srs]3[ASR]14,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]15__1of2.cif,2007[Zn][srs]3[ASR]15,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]2__1of2.cif,2007[Zn][srs]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]3__1of2.cif,2007[Zn][srs]3[ASR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]4__1of2.cif,2007[Zn][srs]3[ASR]4,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]5__1of2.cif,2007[Zn][srs]3[ASR]5,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]6__1of2.cif,2007[Zn][srs]3[ASR]6,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]7__1of2.cif,2007[Zn][srs]3[ASR]7,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]8__1of2.cif,2007[Zn][srs]3[ASR]8,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[ASR]9__1of2.cif,2007[Zn][srs]3[ASR]9,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[FSR]10__1of2.cif,2007[Zn][srs]3[FSR]10,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[FSR]11__1of2.cif,2007[Zn][srs]3[FSR]11,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[FSR]1__1of2.cif,2007[Zn][srs]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[FSR]12__1of2.cif,2007[Zn][srs]3[FSR]12,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/2007[Zn][srs]3[FSR]13__1of2.cif,2007[Zn][srs]3[FSR]13,retained,"""interpenetration removal""",,,,unknown
